,PassengerId,Survived
268,1268,True
269,1274,True
270,1275,True
271,1301,True
272,1304,True
273,900,True
274,911,True
275,996,True
276,1117,True
277,1141,True
278,1175,True
279,1225,True
280,1239,True
281,1303,True
282,904,True
283,906,True
284,914,True
285,936,True
286,945,True
287,961,True
288,969,True
289,984,True
290,988,True
291,1006,True
292,1033,True
293,1048,True
294,1074,True
295,1123,True
296,1197,True
297,1216,True
298,1248,True
299,1266,True
300,1283,True
301,1287,True
302,1292,True
303,916,True
304,918,True
305,940,True
306,951,True
307,966,True
308,992,True
309,1004,True
310,1014,True
311,1042,True
312,1060,True
313,1071,True
314,1076,True
315,1100,True
316,1110,True
317,1116,True
318,1131,True
319,1132,True
320,1164,True
321,1206,True
322,1235,True
323,1242,True
324,1256,True
325,1260,True
326,1263,True
327,1267,True
328,1289,True
329,1294,True
330,1306,True
331,903,False
332,920,False
333,933,False
334,942,False
335,959,False
336,973,False
337,974,False
338,1036,False
339,1038,False
340,1040,False
341,1050,False
342,1083,False
343,1107,False
344,1109,False
345,1137,False
346,1158,False
347,1179,False
348,1182,False
349,1185,False
350,1190,False
351,1198,False
352,1200,False
353,1215,False
354,1227,False
355,1247,False
356,1264,False
357,1270,False
358,1282,False
359,1295,False
360,912,True
361,915,True
362,926,True
363,938,True
364,956,True
365,960,True
366,965,True
367,967,True
368,986,True
369,1010,True
370,1023,True
371,1034,True
372,1058,True
373,1069,True
374,1073,True
375,1088,True
376,1094,True
377,1097,True
378,1126,True
379,1128,True
380,1134,True
381,1144,True
382,1162,True
383,1208,True
384,1219,True
385,1223,True
386,1296,True
387,1299,True
388,935,True
389,944,True
390,957,True
391,1011,True
392,1012,True
393,1054,True
394,1067,True
395,1068,True
396,1070,True
397,1078,True
398,1095,True
399,1105,True
400,1114,True
401,1130,True
402,1133,True
403,1138,True
404,1140,True
405,1142,True
406,1150,True
407,1154,True
408,1167,True
409,1218,True
410,1222,True
411,1241,True
412,1254,True
413,1277,True
414,907,True
415,1112,True
416,1188,True
417,1253,True
